batch,scenario_id,model_name,deterministic_grade,error_tags,failed_fields,contains_mismatch,contains_not_found,contains_unparseable,contains_gold_data_issue,would_be_not_gradeable_under_phase2_rule,reason
V5,COS_AGE_001,Mistral Small 3.2 24B Instruct,FAIL,lcdm_age_gyr:MISMATCH,lcdm_age_gyr,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V5,GR_CHIRP_001,Gemma 3 12B IT,FAIL,chirp_mass_msun:MISMATCH;each_mass_msun:MISMATCH;total_mass_msun:MISMATCH,chirp_mass_msun;each_mass_msun;total_mass_msun,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V5,GR_CHIRP_001,Gemma 3 27B IT,FAIL,chirp_mass_msun:MISMATCH;each_mass_msun:MISMATCH;total_mass_msun:MISMATCH,chirp_mass_msun;each_mass_msun;total_mass_msun,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V5,GR_CHIRP_001,Gemma 4 31B IT,FAIL,chirp_mass_msun:MISMATCH;each_mass_msun:MISMATCH;total_mass_msun:MISMATCH,chirp_mass_msun;each_mass_msun;total_mass_msun,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V5,GR_CHIRP_001,Granite 4.1 8B,FAIL,chirp_mass_msun:MISMATCH;each_mass_msun:MISMATCH;total_mass_msun:MISMATCH,chirp_mass_msun;each_mass_msun;total_mass_msun,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V5,GR_CHIRP_001,Llama 3.1 8B Instruct,FAIL,chirp_mass_msun:MISMATCH;each_mass_msun:MISMATCH;total_mass_msun:MISMATCH,chirp_mass_msun;each_mass_msun;total_mass_msun,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V5,GR_CHIRP_001,Ministral 3 8B,FAIL,chirp_mass_msun:MISMATCH;each_mass_msun:MISMATCH;total_mass_msun:MISMATCH,chirp_mass_msun;each_mass_msun;total_mass_msun,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V5,GR_CHIRP_001,Mistral NeMo 12B,FAIL,chirp_mass_msun:MISMATCH;each_mass_msun:MISMATCH;total_mass_msun:MISMATCH,chirp_mass_msun;each_mass_msun;total_mass_msun,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V5,GR_CHIRP_001,Mistral Small 3.2 24B Instruct,FAIL,chirp_mass_msun:MISMATCH;each_mass_msun:MISMATCH;total_mass_msun:MISMATCH,chirp_mass_msun;each_mass_msun;total_mass_msun,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V5,QFT_YUKAWA_001,Mistral NeMo 12B,FAIL,nonreduced_fm:MISMATCH,nonreduced_fm,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V5,QM_RT_001,Gemma 3 12B IT,FAIL,energy_unit_ev:MISMATCH;first_resonance_ev:MISMATCH,energy_unit_ev;first_resonance_ev,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V5,QM_RT_001,Gemma 3 27B IT,FAIL,energy_unit_ev:MISMATCH;first_resonance_ev:MISMATCH,energy_unit_ev;first_resonance_ev,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V5,QM_RT_001,Granite 4.1 8B,FAIL,energy_unit_ev:MISMATCH;first_resonance_ev:MISMATCH;n_lowest:MISMATCH,energy_unit_ev;first_resonance_ev;n_lowest,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V5,QM_RT_001,Llama 3.1 8B Instruct,FAIL,energy_unit_ev:MISMATCH;first_resonance_ev:MISMATCH,energy_unit_ev;first_resonance_ev,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V5,QM_RT_001,Ministral 3 8B,FAIL,energy_unit_ev:MISMATCH;first_resonance_ev:MISMATCH,energy_unit_ev;first_resonance_ev,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V5,QM_RT_001,Mistral NeMo 12B,FAIL,energy_unit_ev:MISMATCH;first_resonance_ev:MISMATCH,energy_unit_ev;first_resonance_ev,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V5,QM_RT_001,Mistral Small 3.2 24B Instruct,FAIL,energy_unit_ev:MISMATCH;first_resonance_ev:MISMATCH,energy_unit_ev;first_resonance_ev,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V5,STAT_NEGT_001,Llama 3.1 8B Instruct,FAIL,abs_temperature_K:MISMATCH;temperature_K:MISMATCH,abs_temperature_K;temperature_K,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V5,STAT_NEGT_001,Mistral NeMo 12B,FAIL,abs_temperature_K:MISMATCH;temperature_K:MISMATCH,abs_temperature_K;temperature_K,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
